id,title,url,slug,date,excerpt
141,Open Source Ai Frameworks,https://learnprompting.org/blog/open-source-ai-frameworks,open-source-ai-frameworks,,
142,Openai Agents Sdk,https://learnprompting.org/blog/openai-agents-sdk,openai-agents-sdk,,
143,Openai Api Works With Pdfs,https://learnprompting.org/blog/openai-api-works-with-pdfs,openai-api-works-with-pdfs,,
144,Openai Audio Models Api,https://learnprompting.org/blog/openai-audio-models-api,openai-audio-models-api,,
145,Openai Cpo On The Future Of Ai,https://learnprompting.org/blog/openai-cpo-on-the-future-of-ai,openai-cpo-on-the-future-of-ai,,
146,Openai Deep Research,https://learnprompting.org/blog/openai-deep-research,openai-deep-research,,
147,Openai New Image Generation Model Competes With Studios,https://learnprompting.org/blog/openai-new-image-generation-model-competes-with-studios,openai-new-image-generation-model-competes-with-studios,,
148,Openai New Tools For Building Agents,https://learnprompting.org/blog/openai-new-tools-for-building-agents,openai-new-tools-for-building-agents,,
149,Openai O1 Pro,https://learnprompting.org/blog/openai-o1-pro,openai-o1-pro,,
150,Openai Plans A New Open Model,https://learnprompting.org/blog/openai-plans-a-new-open-model,openai-plans-a-new-open-model,,
151,Openai Solution Reward Hacking,https://learnprompting.org/blog/openai-solution-reward-hacking,openai-solution-reward-hacking,,
152,Penetration Testing Courses,https://learnprompting.org/blog/penetration-testing-courses,penetration-testing-courses,,
153,Perplexity Use Cases,https://learnprompting.org/blog/perplexity_use_cases,perplexity_use_cases,,
154,Prompt Engineering Courses,https://learnprompting.org/blog/prompt_engineering_courses,prompt_engineering_courses,,
155,Prompt Poetry,https://learnprompting.org/blog/prompt_poetry,prompt_poetry,,
156,Prompt Engineering Vs Fine Tuning,https://learnprompting.org/blog/prompt-engineering-vs-fine-tuning,prompt-engineering-vs-fine-tuning,,
157,Prompt Injection Exploits In Chatgpt Operator,https://learnprompting.org/blog/prompt-injection-exploits-in-chatgpt-operator,prompt-injection-exploits-in-chatgpt-operator,,
158,Prompt Injection Hacking Chatgpt Memories,https://learnprompting.org/blog/prompt-injection-hacking-chatgpt-memories,prompt-injection-hacking-chatgpt-memories,,
159,R1 Omni Explainable Omni‐Multimodal Emotion Recognition With Reinforcing Learning,https://learnprompting.org/blog/r1-omni-explainable-omni‐multimodal-emotion-recognition-with-reinforcing-learning,r1-omni-explainable-omni‐multimodal-emotion-recognition-with-reinforcing-learning,,
160,Rag Courses,https://learnprompting.org/blog/rag-courses,rag-courses,,
161,Resources Latest Research Papers,https://learnprompting.org/blog/resources_latest_research_papers,resources_latest_research_papers,,
162,Resume Prompts,https://learnprompting.org/blog/resume_prompts,resume_prompts,,
163,Role Prompting,https://learnprompting.org/blog/role_prompting,role_prompting,,
164,Runwayml Introducing Runway Gen 4,https://learnprompting.org/blog/runwayml-introducing-runway-gen-4,runwayml-introducing-runway-gen-4,,
165,Security Courses Certifications,https://learnprompting.org/blog/security-courses-certifications,security-courses-certifications,,
166,Sesame Conversational Speech Model,https://learnprompting.org/blog/sesame-conversational-speech-model,sesame-conversational-speech-model,,
167,Sesame Conversational Speech Model Open Sourced,https://learnprompting.org/blog/sesame-conversational-speech-model-open-sourced,sesame-conversational-speech-model-open-sourced,,
168,Stability Ai Stable Virtual Camera,https://learnprompting.org/blog/stability-ai-stable-virtual-camera,stability-ai-stable-virtual-camera,,
169,State Of Ai Report 2024,https://learnprompting.org/blog/state-of-AI-report-2024,state-of-AI-report-2024,,
170,Tavus Conversational Video Interface,https://learnprompting.org/blog/tavus-conversational-video-interface,tavus-conversational-video-interface,,
171,The Prompt Report,https://learnprompting.org/blog/the_prompt_report,the_prompt_report,,
172,The First Trial Of Generative Ai Therapy Shows It Might Help,https://learnprompting.org/blog/the-first-trial-of-generative-ai-therapy-shows-it-might-help,the-first-trial-of-generative-ai-therapy-shows-it-might-help,,
173,Tips Effective Prompts,https://learnprompting.org/blog/tips-effective-prompts,tips-effective-prompts,,
174,Upgraded Anthropic Console,https://learnprompting.org/blog/upgraded-anthropic-console,upgraded-anthropic-console,,
175,Website Security Courses,https://learnprompting.org/blog/website-security-courses,website-security-courses,,
176,What Is Ai Red Teaming,https://learnprompting.org/blog/what-is-ai-red-teaming,what-is-ai-red-teaming,,
177,What Is Deepseek,https://learnprompting.org/blog/what-is-deepseek,what-is-deepseek,,
178,What Is Google Agentspace,https://learnprompting.org/blog/what-is-google-agentspace,what-is-google-agentspace,,
179,What Is Model Context Protocol,https://learnprompting.org/blog/what-is-model-context-protocol,what-is-model-context-protocol,,
180,What Is Prompt Engineering,https://learnprompting.org/blog/what-is-prompt-engineering,what-is-prompt-engineering,,
181,What Is Vibe Coding,https://learnprompting.org/blog/what-is-vibe-coding,what-is-vibe-coding,,
182,Windsurf Wave 5,https://learnprompting.org/blog/windsurf-wave-5,windsurf-wave-5,,
183,Xai Acquired Hotshot,https://learnprompting.org/blog/xai-acquired-hotshot,xai-acquired-hotshot,,
184,Xai Acquired X,https://learnprompting.org/blog/xai-acquired-x,xai-acquired-x,,
